species,country_of_origin,altitude,region,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration
Arabica,Ethiopia,1855,addis ababa,2017-01-01,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,None,7,"June 23rd, 2018"
Arabica,Peru,1855,cajamarca,2013-01-01,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,Green,6,"January 22nd, 2015"
Arabica,Papua New Guinea,1855,eastern highlands province,2012-01-01,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,Bluish-Green,1,"October 25th, 2013"
Arabica,El Salvador,1855,apaneca,2013-01-01,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,Blue-Green,3,"March 18th, 2014"
Arabica,El Salvador,1855,"ataco, apaneca - ilamatepec mountain range",2012-01-01,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,None,0,"January 12th, 2014"
Arabica,United States (Hawaii),1855,kona,2012-01-01,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,None,1,"April 6th, 2013"
Arabica,Panama,1680.0,boquete,2014-01-01,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,None,2,"May 22nd, 2016"
Arabica,Kenya,1855,kirinyaga,2014-01-01,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,Green,3,"May 22nd, 2016"
Arabica,Ethiopia,1900.0,oromia,2015-01-01,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,Green,7,"March 30th, 2016"
Arabica,Uganda,1600.0,bulambuli eastern region,2013-01-01,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,Green,1,"June 26th, 2015"
Arabica,Guatemala,1855,huehuetenango,2013-01-01,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,Green,1,"February 26th, 2014"
Arabica,Ethiopia,1900.0,oromia,2015-01-01,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,Green,18,"March 30th, 2016"
Arabica,Uganda,1950.0,kapchorwa,2013-01-01,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,Green,5,"June 26th, 2015"
Arabica,United States (Hawaii),1855,kona,2012-01-01,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,None,6,"April 6th, 2013"
Arabica,Brazil,1855,south of minas,2011-01-01,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,Blue-Green,1,"December 2nd, 2012"
Arabica,El Salvador,1855,apaneca,2009-01-01,Other,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,None,0,"May 31st, 2011"
Arabica,China,1700.0,yunnan,2015-01-01,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Green,0,"April 6th, 2017"
Arabica,Guatemala,1770.0,huehuetenango,2014-01-01,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,Green,1,"May 22nd, 2016"
Arabica,Costa Rica,1300.0,west valley,2014-01-01,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,Bluish-Green,0,"May 1st, 2015"
Arabica,Costa Rica,1855,san ramon,2014-01-01,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,Bluish-Green,2,"May 1st, 2015"
Arabica,Kenya,1855,central kenya,2012-01-01,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,Green,2,"April 19th, 2014"
Arabica,Kenya,1855,central kenya,2012-01-01,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,Green,6,"March 12th, 2014"
Arabica,Ethiopia,1855,yirgacheffe,2009-01-01,Other,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,0,0.0,None,2,"June 17th, 2011"
Arabica,Ethiopia,1855,yirgacheffe,2009-01-01,Other,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,None,3,"June 17th, 2011"
Arabica,Guatemala,1855,oriente,2016-01-01,Other,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,Green,2,"April 27th, 2017"
Arabica,Colombia,1855,santander,2015-01-01,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,Green,0,"April 7th, 2016"
Arabica,Colombia,1550.0,santander,2014-01-01,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,Green,2,"January 17th, 2015"
Arabica,Indonesia,1855,lintong,2012-01-01,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,Green,3,"November 26th, 2013"
Arabica,Guatemala,1855,huehuetenango,2012-01-01,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,None,7,"January 17th, 2013"
Arabica,Ethiopia,1855,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016-01-01,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,Green,8,"August 9th, 2017"
Arabica,Colombia,1855,pasto,2015-01-01,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,None,0,"August 17th, 2016"
Arabica,Ethiopia,1700.0,aricha,2014-01-01,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,Green,7,"October 7th, 2015"
Arabica,United States (Hawaii),1855,kona,2014-01-01,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,Bluish-Green,2,"March 10th, 2015"
Arabica,Colombia,1855,cundinamarca,2012-01-01,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,Green,8,"March 16th, 2013"
Arabica,United States (Hawaii),1855,kona,2010-01-01,Other,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,1,0.0,None,7,"December 27th, 2011"
Arabica,Ethiopia,1855,sidamo,2010-01-01,Other,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,0,0.0,None,5,"June 17th, 2011"
Arabica,United States (Hawaii),1855,kona,2010-01-01,Other,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.0,0,0.0,None,0,"May 17th, 2011"
Arabica,Uganda,1800.0,eastern uganda,2016-01-01,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,Green,1,"July 24th, 2018"
Arabica,Colombia,1855,huila,2016-01-01,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,Green,3,"February 15th, 2018"
Arabica,Costa Rica,1900.0,tarrazu,2016-01-01,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,Green,1,"January 30th, 2018"
Arabica,Mexico,1300.0,veracruz,2015-01-01,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,Green,3,"September 21st, 2017"
Arabica,Kenya,1855,Unknown,2015-01-01,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,5.0,Green,7,"May 7th, 2017"
Arabica,Kenya,1580.0,central kenya,2012-01-01,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,Green,5,"April 19th, 2014"
Arabica,Brazil,1855,grama valley,2012-01-01,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,Green,3,"February 28th, 2013"
Arabica,Mexico,1855,mexico,2010-01-01,Other,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,None,0,"April 5th, 2012"
Arabica,United States (Hawaii),1855,kona,2010-01-01,Other,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,None,1,"February 24th, 2012"
Arabica,Guatemala,1855,"chuva, san marcos",2009-01-01,Other,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,0,0.0,None,1,"September 7th, 2011"
Arabica,Colombia,1855,huila,2016-01-01,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.0,1,6.0,None,2,"November 25th, 2017"
Arabica,Colombia,1855,huila,2015-01-01,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,Green,1,"October 25th, 2016"
Arabica,Taiwan,1855,natou county,2015-01-01,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,Green,0,"June 8th, 2016"
Arabica,Tanzania,1855,mbeya,2014-01-01,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,Green,2,"December 12th, 2015"
Arabica,Colombia,1855,huila,2012-01-01,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,Green,3,"December 11th, 2013"
Arabica,Mexico,1200.0,coatepec,2012-01-01,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,None,0,"July 11th, 2013"
Arabica,Brazil,1855,south of minas,2011-01-01,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,Green,2,"December 22nd, 2012"
Arabica,Brazil,1855,south of minas,2011-01-01,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,Green,2,"December 2nd, 2012"
Arabica,Kenya,1855,Unknown,2009-01-01,Other,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,1,0.0,None,9,"August 26th, 2011"
Arabica,Taiwan,350.0,"dongshan dist., tainan city 臺南市東山區",2016-01-01,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.0,0,0.0,Green,0,"May 18th, 2017"
Arabica,Uganda,1650.0,eastern,2013-01-01,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0.0,Green,1,"June 30th, 2015"
Arabica,United States (Hawaii),1855,kona,2012-01-01,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,0.0,3,0.0,None,15,"April 6th, 2013"
Arabica,Ethiopia,1855,sidamo,2009-01-01,Other,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,0,0.0,None,2,"June 17th, 2011"
Arabica,Ethiopia,1855,sidamo,2009-01-01,Other,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,0,0.0,None,4,"June 17th, 2011"
Arabica,Thailand,1855,thailand,2015-01-01,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,0,0.0,Green,0,"June 27th, 2017"
Arabica,Kenya,1800.0,nyeri,2014-01-01,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0.0,Green,0,"June 1st, 2016"
Arabica,Honduras,1855,marcala,2014-01-01,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0.0,Green,4,"April 25th, 2015"
Arabica,El Salvador,1855,santa ana,2010-01-01,Other,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.15,0,0.0,None,3,"August 22nd, 2012"
Arabica,Nicaragua,1855,jinotega,2009-01-01,Other,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.18,0,0.0,None,2,"May 31st, 2011"
Arabica,El Salvador,1350.0,apaneca,2016-01-01,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.0,0,0.0,Blue-Green,2,"June 26th, 2018"
Arabica,Indonesia,1200.0,"temanggung, indonesia",2016-01-01,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,Green,7,"November 24th, 2017"
Arabica,Japan,170.0,ada okinawa japan,2010-01-01,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0.0,Green,0,"November 2nd, 2017"
Arabica,Costa Rica,1150.0,tarrazu,2015-01-01,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,Blue-Green,2,"October 4th, 2017"
